Company,Company ID,Country,Country GDP $,Not IFRS,Industry group,ICB code,Industry description,Listing status,2009 R&D investment,1 Yr R&D investment growth%,4 Yr R&D investment growth%,R&D investment / operation profit%,R&D investment / sales%,R&D + capex / sales%,Operating profit,If made profit,1 Yr operating profit%,4 Yr operating profit%,Operating profit / sales%,Sales,1 Yr sales growth%,4 Yr sales growth%,Employees,1 Yr employees growth%,4 Yr employees growth%,R&D / employees ,1 Yr R&D / employees growth%,4 Yr R&D / employees growth%,Sales outside region%,Market cap,Market cap change%,If market cap increase,R&D spend 2008,R&D spend 2007,R&D spend 2006,R&D spend 2005
"Reliance Industries, India",994,India,1544380310593.35,*,31,537,Integrated oil & gas,FT Global 500,44.81,9,92,1.9,0.2,33.2,2356,Yes,-24,18,11.7,20124,10,51,24679,-3,-86,1.8,13,101,,42407,3,Yes,41.02,43.21,6.24,3.01
"CSG Systems International, USA",205,USA,14617299295858.1,*,37,9537,Software,Listed,43.42,4,36,105.6,14.0,22.1,41,Yes,-26,-17,13.3,310,6,10,2061,0,15,21.1,4,20,,375,6,Yes,41.66,36.13,28.60,21.01
"TPV Technology, Bermuda",756,Bermuda,5867281536.7,*,9,2737,Electronic equipment,Listed,49.63,19,59,43.0,1.0,2.4,116,Yes,17,-5,2.3,4974,-13,7,29479,3,16,1.7,15,40,53,923,34,Yes,41.70,33.54,31.82,18.08
"Rovi, USA",190,USA,14617299295858.1,*,37,9537,Software,Listed,58.60,40,120,258.8,19.6,23.6,23,Yes,,,7.6,300,-13,50,1200,1,54,48.8,38,48,,2670,45,Yes,41.93,10.84,32.72,21.29
"Kontron, Germany",149,Germany,3260114884059.16,,39,9572,Computer hardware,Listed,44.92,7,23,168.2,10.8,12.0,27,Yes,-37,-16,6.4,417,-6,14,2457,-3,5,18.3,10,18,,239,-41,No,41.96,37.86,38.05,28.52
"Trelleborg, Sweden",816,Sweden,466459315772.176,,17,2727,Diversified industrials,Listed,43.97,4,-10,67.4,1.9,4.7,65,Yes,124,-41,2.8,2347,-13,-5,20073,-18,-14,2.2,27,3,36,1006,27,Yes,42.15,44.06,52.91,57.15
"Biovail, Canada",375,Canada,1565186460764.05,*,34,4577,Pharmaceuticals,Listed,66.03,56,43,60.6,13.0,13.9,109,Yes,43,-16,21.4,508,8,-9,1291,-7,-18,51.1,68,72,2,2213,63,Yes,42.41,58.39,46.48,37.46
"Cameron International, USA",978,USA,14617299295858.1,*,32,573,Oil equipment & services,Listed,48.37,14,,10.7,1.5,6.1,452,Yes,-18,,14.0,3234,-11,,18100,6,,2.7,7,,,5690,25,Yes,42.52,36.90,,21.30
"Array BioPharma, USA",431,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,44.79,5,201,,289.5,301.3,-74,No,,,-481.1,15,-13,-36,355,-8,14,126.2,14,206,,96,-24,No,42.62,16.94,0.00,0.00
"ConAgra Foods, USA",547,USA,14617299295858.1,*,14,3577,Food products,Listed,49.91,17,26,4.7,0.6,4.0,1061,Yes,3,31,13.2,8038,-6,-8,25600,2,-15,2.0,14,31,,5886,10,Yes,42.67,42.29,33.50,
"Suez Environnement, France",629,France,2592078593347.73,,38,2799,Waste & disposal services,Listed,57.75,33,,7.9,0.5,6.8,729,Yes,-20,,6.7,10925,-1,,65895,1,,0.9,32,,,5312,-2,No,43.36,,,
"Meidensha, Japan",815,Japan,5470777391091.97,*,17,2727,Diversified industrials,Listed,46.16,6,14,,3.5,7.0,-4,No,-112,-117,-0.3,1322,-2,4,7133,5,6,6.5,2,8,0,433,-50,No,43.44,40.18,36.55,41.15
"Rinnai, Japan",532,Japan,5470777391091.97,*,20,3722,Durable household products,Listed,46.19,6,5,47.8,2.9,7.5,97,Yes,46,64,6.1,1575,1,10,7772,143,,5.9,-56,,,1928,28,Yes,43.55,45.09,45.09,42.21
"Cochlear, Australia",473,Australia,1122922429785.22,*,19,4535,Medical equipment,Listed,53.74,23,59,55.5,13.9,16.8,97,Yes,7,47,25.0,387,15,42,1888,6,37,28.5,17,14,89,2184,22,Yes,43.65,35.71,31.58,24.37
"Quantum, USA",152,USA,14617299295858.1,*,39,9572,Computer hardware,Listed,43.32,-1,-27,238.7,10.3,11.5,18,Yes,,,4.3,422,-16,-25,1800,-4,-21,24.1,3,-7,34,180,27,Yes,43.68,55.46,71.35,66.51
"Groupe SEB, France",530,France,2592078593347.73,,20,3722,Durable household products,Listed,52.42,20,33,24.3,1.9,4.8,216,Yes,-8,16,7.6,2822,-2,13,19713,9,32,2.7,10,0,,2202,40,Yes,43.71,41.58,35.45,36.87
"Infogrames Entertainment (now Atari), France",204,France,2592078593347.73,,37,9537,Software,Listed,43.71,0,-26,,16.6,16.9,-178,No,,,-67.8,263,2,-26,679,22,-20,64.4,-18,-11,42,61,14,Yes,43.80,45.76,71.70,76.14
"ANSYS, USA",198,USA,14617299295858.1,*,37,9537,Software,Listed,49.45,12,53,43.5,15.5,17.1,114,Yes,8,85,35.5,320,8,61,1600,-9,24,30.9,22,19,65,2303,14,Yes,44.33,35.04,31.14,19.00
"Akamai Technologies, USA",209,USA,14617299295858.1,*,37,9535,Internet,Listed,47.78,8,41,34.2,9.0,18.4,140,Yes,6,75,26.2,532,9,61,1750,17,51,27.3,-8,-4,,4973,156,Yes,44.36,43.12,30.96,16.89
"Pall, USA",685,USA,14617299295858.1,*,21,2757,Industrial machinery,Listed,44.10,-1,15,23.8,3.1,8.8,185,Yes,-17,9,12.8,1442,-9,7,10200,-4,-4,4.3,3,20,,2562,15,Yes,44.37,38.65,35.53,34.79
"Sika, Switzerland",932,Switzerland,566764598976.798,,6,1357,Specialty chemicals,Listed,44.75,1,19,21.4,1.8,5.0,209,Yes,-18,-11,8.4,2489,-10,4,12635,-2,11,3.5,3,13,,2576,45,Yes,44.39,37.32,31.15,
"China Telecom, China",295,China,1565186460764.05,,12,6535,Fixed line telecommunications,Listed,49.44,11,39,2.3,0.3,1.1,2136,Yes,348,-20,11.2,18991,12,18,312520,-1,15,0.2,12,22,,24188,-9,No,44.45,47.53,26.49,23.67
"Sopra, France",225,France,2592078593347.73,,37,9533,Computer services,Listed,47.62,7,46,86.4,4.9,5.9,55,Yes,-38,-22,5.7,973,-3,16,12610,4,21,3.8,2,22,,520,50,Yes,44.51,34.47,27.63,23.72
"Tenneco, USA",596,USA,14617299295858.1,*,3,3355,Auto parts,Listed,60.07,35,46,105.4,2.1,4.7,57,Yes,,-59,2.0,2879,-21,-12,21000,0,5,2.9,35,40,,967,107,Yes,44.59,47.68,35.92,35.92
"West Japan Railway, Japan",299,Japan,5470777391091.97,*,41,5759,Travel & tourism,Listed,48.88,9,13,5.7,0.6,16.4,856,Yes,-6,-5,10.1,8483,-1,2,45240,3,16,1.1,7,-8,,4605,16,Yes,44.67,42.59,45.03,41.04
"Dongfang Electric, China",677,China,1565186460764.05,*,21,2757,Industrial machinery,Listed,57.78,29,90,39.7,1.9,3.3,146,Yes,534,7,4.9,2971,21,71,19461,5,,3.0,23,,,4645,47,Yes,44.69,42.52,28.03,6.37
"Perrigo, USA",390,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,48.25,8,36,33.7,3.7,6.5,143,Yes,17,2928,11.0,1298,15,48,7250,17,20,6.7,-8,14,,3346,119,Yes,44.70,41.17,32.38,23.79
"Roland, Japan",506,Japan,5470777391091.97,*,24,3745,Recreational products,Listed,45.05,0,2,110.7,6.7,9.8,41,Yes,-55,-43,6.1,669,-7,3,2708,7,,16.6,-6,,68,165,-12,No,44.84,45.47,41.79,
"Informatica, USA",200,USA,14617299295858.1,*,37,9537,Software,Listed,48.52,8,31,86.5,15.6,16.3,56,Yes,6,88,18.1,310,10,39,1755,9,35,27.6,-1,-3,,1750,70,Yes,44.91,43.30,34.06,26.37
"Onyx Pharmaceuticals, USA",367,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,78.96,75,165,630.5,50.7,51.2,13,Yes,,,8.0,156,29,414,271,38,89,291.4,27,33,,1052,-4,No,45.23,15.74,19.18,39.09
"Kaken Pharmaceutical, Japan",389,Japan,5470777391091.97,*,34,4577,Pharmaceuticals,Listed,51.19,13,20,78.5,9.3,12.4,65,Yes,19,25,11.8,552,4,8,1713,0,0,29.9,14,19,,653,17,Yes,45.29,43.46,40.22,41.71
"Spirent Communications, UK",33,UK,2427911661952.04,,39,9578,Telecommunications equipment,Listed,47.50,5,-11,85.7,17.5,19.8,55,Yes,13,19,20.4,272,6,-14,1449,-6,-42,32.8,12,38,84,844,78,Yes,45.30,46.30,58.00,62.80
"Woodward Governor, USA",683,USA,14617299295858.1,*,21,2757,Industrial machinery,Listed,48.63,7,26,50.7,5.5,7.5,96,Yes,-16,27,10.8,886,14,44,5660,-3,31,8.6,10,-5,,1182,39,Yes,45.46,40.43,37.07,30.96
"Andritz, Austria",686,Austria,384823184161.595,,21,2757,Industrial machinery,Listed,43.76,-4,24,33.7,1.5,3.7,130,Yes,-33,-13,4.6,2841,-11,13,13049,-5,25,3.4,1,-3,51,1977,27,Yes,45.52,40.34,31.47,24.12
"Sanden, Japan",599,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,46.70,2,16,,3.2,9.0,-109,No,-245,-337,-7.5,1441,-18,-11,8064,-5,1,5.8,8,15,,298,14,Yes,45.67,41.95,41.03,32.87
"Cabot, USA",933,USA,14617299295858.1,*,6,1357,Specialty chemicals,Listed,43.97,-4,9,,3.2,7.9,-36,No,-138,-158,-2.6,1389,-30,-14,3950,-8,-9,11.1,4,20,,1165,43,Yes,45.82,42.73,35.92,36.54
"Nalco, USA",630,USA,14617299295858.1,*,38,2799,Waste & disposal services,Listed,46.20,1,15,18.4,2.0,4.7,251,Yes,,37,10.8,2320,-11,0,11590,-2,2,4.0,2,12,,1988,30,Yes,45.82,40.75,38.15,36.29
"Fiserv, USA",633,USA,14617299295858.1,*,38,2795,Financial administration,Listed,50.16,9,34,8.6,2.0,6.8,586,Yes,7,20,23.2,2525,-16,-12,20000,0,-11,2.5,9,49,,4572,-1,No,45.82,35.30,37.59,30.96
"Standard Microsystems, USA",109,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,48.12,5,15,,25.2,28.0,-9,No,,-333,-4.5,191,-5,-12,916,-3,6,52.5,8,8,93,273,-15,No,45.93,44.37,41.23,36.09
"CNOOC, Hong Kong",999,Hong Kong,214145226330.175,*,31,533,Exploration & production,FT Global 500,48.91,6,22,1.3,0.5,40.5,3670,Yes,-26,-9,38.5,9542,-16,14,4019,12,29,12.2,-5,-5,,45640,19,Yes,46.00,43.74,34.21,36.43
"Coloplast, Denmark",475,Denmark,316081424057.807,,19,4535,Medical equipment,Listed,43.34,-6,26,26.0,4.1,9.6,167,Yes,40,50,15.8,1053,4,15,7349,-1,9,5.9,-5,16,24,2779,47,Yes,46.09,38.09,28.30,25.55
